Date,Item Purchased,Unit Value,Product Name,Category
2023-06-01,5,15.227525095137953,Product A,Music Streaming
2023-06-01,5,29.110519961044854,Product B,Podcast Subscription
2023-06-01,3,48.87505167779042,Product C,Merchandise
2023-06-01,4,51.046298579533236,Product D,Concert Tickets
2023-06-02,4,64.67903667112945,Product A,Music Streaming
2023-06-02,5,18.79049026057455,Product B,Podcast Subscription
2023-06-02,4,91.83883618709038,Product C,Merchandise
2023-06-02,5,97.26261649881027,Product D,Concert Tickets
2023-06-03,6,14.070456001948425,Product A,Music Streaming
2023-06-03,5,58.84264748424236,Product B,Podcast Subscription
2023-06-03,4,27.884411338075516,Product C,Merchandise
2023-06-03,0,83.39152856093507,Product D,Concert Tickets
2023-06-04,5,87.67930832880342,Product A,Music Streaming
2023-06-04,3,39.266498982407235,Product B,Podcast Subscription
2023-06-04,8,54.44160367279517,Product C,Merchandise
2023-06-04,2,19.7102284293974,Product D,Concert Tickets
2023-06-05,2,55.77136220482325,Product A,Music Streaming
2023-06-05,5,36.077630762239124,Product B,Podcast Subscription
2023-06-05,8,82.66961396476563,Product C,Merchandise
2023-06-05,4,83.62132893302439,Product D,Concert Tickets
2023-06-06,1,55.967257231980916,Product A,Music Streaming
2023-06-06,3,94.86187335212672,Product B,Podcast Subscription
2023-06-06,7,37.07904788350927,Product C,Merchandise
2023-06-06,2,55.24111209059753,Product D,Concert Tickets
2023-06-07,3,23.04053848821008,Product A,Music Streaming
2023-06-07,7,66.90752475342215,Product B,Podcast Subscription
2023-06-07,5,13.669762739928753,Product C,Merchandise
2023-06-07,2,56.088375246935286,Product D,Concert Tickets
2023-06-08,5,22.376884973139394,Product A,Music Streaming
2023-06-08,5,83.54999801810942,Product B,Podcast Subscription
2023-06-08,3,90.74941821579941,Product C,Merchandise
2023-06-08,9,24.54658426851524,Product D,Concert Tickets
2023-06-09,2,19.132438857942887,Product A,Music Streaming
2023-06-09,1,24.472724627574877,Product B,Podcast Subscription
2023-06-09,6,77.18422646062217,Product C,Merchandise
2023-06-09,6,31.95906790411752,Product D,Concert Tickets
2023-06-10,8,75.02069037353547,Product A,Music Streaming
2023-06-10,2,25.939961146634403,Product B,Podcast Subscription
2023-06-10,4,93.54867063289528,Product C,Merchandise
2023-06-10,8,60.11211362125152,Product D,Concert Tickets
2023-06-11,6,56.64966871273631,Product A,Music Streaming
2023-06-11,11,81.84656610700976,Product B,Podcast Subscription
2023-06-11,6,62.045212689655656,Product C,Merchandise
2023-06-11,3,63.174993451210966,Product D,Concert Tickets
2023-06-12,1,84.03405045936924,Product A,Music Streaming
2023-06-12,4,66.06014282371002,Product B,Podcast Subscription
2023-06-12,1,57.82191684113332,Product C,Merchandise
2023-06-12,8,17.061074320803936,Product D,Concert Tickets
2023-06-13,4,25.596488806376122,Product A,Music Streaming
2023-06-13,5,95.93787525968747,Product B,Podcast Subscription
2023-06-13,7,20.446537645622463,Product C,Merchandise
2023-06-13,1,86.99145256099065,Product D,Concert Tickets
2023-06-14,5,49.04664843141757,Product A,Music Streaming
2023-06-14,4,66.32739241428128,Product B,Podcast Subscription
2023-06-14,4,67.8177350385684,Product C,Merchandise
2023-06-14,4,67.89593965981179,Product D,Concert Tickets
2023-06-15,7,19.070020123968398,Product A,Music Streaming
2023-06-15,1,71.47060960747211,Product B,Podcast Subscription
2023-06-15,3,83.30216343300422,Product C,Merchandise
2023-06-15,7,25.969558940175055,Product D,Concert Tickets
2023-06-16,10,77.90885866762142,Product A,Music Streaming
2023-06-16,6,10.975388633226853,Product B,Podcast Subscription
2023-06-16,7,36.388969452825805,Product C,Merchandise
2023-06-16,6,15.180288401497986,Product D,Concert Tickets
2023-06-17,5,78.5359568545725,Product A,Music Streaming
2023-06-17,2,73.08722183132079,Product B,Podcast Subscription
2023-06-17,3,17.635394267667273,Product C,Merchandise
2023-06-17,8,79.94322243346932,Product D,Concert Tickets
2023-06-18,5,52.17945777947136,Product A,Music Streaming
2023-06-18,1,20.577362209939437,Product B,Podcast Subscription
2023-06-18,7,96.69002854965501,Product C,Merchandise
2023-06-18,2,90.2028802328264,Product D,Concert Tickets
2023-06-19,7,50.90869582909959,Product A,Music Streaming
2023-06-19,4,95.53703356689029,Product B,Podcast Subscription
2023-06-19,5,41.80170052234475,Product C,Merchandise
2023-06-19,6,83.24155177362537,Product D,Concert Tickets
2023-06-20,10,12.37302770475268,Product A,Music Streaming
2023-06-20,9,47.33375521038987,Product B,Podcast Subscription
2023-06-20,6,79.20886736624594,Product C,Merchandise
2023-06-20,6,30.577852495311646,Product D,Concert Tickets
2023-06-21,5,79.50865525620753,Product A,Music Streaming
2023-06-21,6,12.590440868200508,Product B,Podcast Subscription
2023-06-21,5,41.55288029259373,Product C,Merchandise
2023-06-21,7,65.98780302050861,Product D,Concert Tickets
2023-06-22,6,98.20293177569293,Product A,Music Streaming
2023-06-22,4,21.59917497195843,Product B,Podcast Subscription
2023-06-22,2,67.67872703228932,Product C,Merchandise
2023-06-22,5,27.30601169278037,Product D,Concert Tickets
2023-06-23,2,25.93094358490721,Product A,Music Streaming
2023-06-23,2,28.570034656521326,Product B,Podcast Subscription
2023-06-23,3,81.94693590181384,Product C,Merchandise
2023-06-23,4,34.918988333248336,Product D,Concert Tickets
2023-06-24,5,65.64292943772664,Product A,Music Streaming
2023-06-24,3,32.719324990961866,Product B,Podcast Subscription
2023-06-24,6,31.82234532712567,Product C,Merchandise
2023-06-24,2,38.987124902486045,Product D,Concert Tickets
2023-06-25,4,71.11920872300406,Product A,Music Streaming
2023-06-25,6,21.48222725160074,Product B,Podcast Subscription
2023-06-25,7,19.160422535836336,Product C,Merchandise
2023-06-25,2,26.79103216461752,Product D,Concert Tickets
2023-06-26,3,57.20602506132292,Product A,Music Streaming
2023-06-26,7,25.379882865105923,Product B,Podcast Subscription
2023-06-26,7,48.28927947547751,Product C,Merchandise
2023-06-26,4,62.31143992803511,Product D,Concert Tickets
2023-06-27,3,40.294385037452855,Product A,Music Streaming
2023-06-27,3,82.88870012691714,Product B,Podcast Subscription
2023-06-27,6,93.65762298230433,Product C,Merchandise
2023-06-27,6,76.70085843610532,Product D,Concert Tickets
2023-06-28,5,24.783921813789362,Product A,Music Streaming
2023-06-28,8,51.64118071026458,Product B,Podcast Subscription
2023-06-28,6,91.58248998680922,Product C,Merchandise
2023-06-28,5,81.46226703432664,Product D,Concert Tickets
2023-06-29,6,76.95516633154092,Product A,Music Streaming
2023-06-29,4,83.91315742048116,Product B,Podcast Subscription
2023-06-29,3,81.75658292015983,Product C,Merchandise
2023-06-29,6,32.66191530162575,Product D,Concert Tickets
2023-06-30,5,95.25550056506339,Product A,Music Streaming
2023-06-30,4,88.49115180497364,Product B,Podcast Subscription
2023-06-30,8,76.27998120622506,Product C,Merchandise
2023-06-30,6,92.87576943556351,Product D,Concert Tickets
